config,N,num_consumers,num_prosumers,mechanism,community_savings_pct,consumer_delta_pct,prosumer_delta_pct,fairness
2C+5P,7,2,5,BSM,8.28412942480272,9.035591013731533,6.685716504202606,0.8505293210059769
2C+5P,7,2,5,MMR,10.666400679433178,21.30787259205878,-11.968776487226577,3.0050961719041425e-11
2C+5P,7,2,5,SDR,7.76562616336908,22.44000665108675,-23.44783799626247,2.179223468345981e-11
2C+5P,7,2,5,SDR-DSM,18.549810446572057,20.35073647209368,14.719111085953982,0.8394168843574914
3C+7P,10,3,7,BSM,6.545819138087028,8.472735037557937,4.227928627591329,0.665780740160833
3C+7P,10,3,7,MMR,8.126808454036281,19.14733887659895,-5.129806893889032,4.119105057043271e-11
3C+7P,10,3,7,SDR,5.3223920974904155,20.249835490543767,-12.633855705654879,3.041011886750766e-11
3C+7P,10,3,7,SDR-DSM,15.34667171208984,18.148669693334753,11.976143432708756,0.7951015916814161
5C+15P,20,5,15,BSM,4.996004882428384,7.802571173194487,2.753505898823704,0.5216911320895505
5C+15P,20,5,15,MMR,7.275762196941256,17.893460336582397,-1.2079772980794552,5.2352122636989407e-11
5C+15P,20,5,15,SDR,4.531801984890122,18.837227368038796,-6.898500583515005,3.885647359425093e-11
5C+15P,20,5,15,SDR-DSM,14.93325014116427,16.927942032597763,13.339453994655603,0.8814404769213561
10C+20P,30,10,20,BSM,5.743452946971991,7.18093422454386,3.714392008079174,0.6818321781162533
10C+20P,30,10,20,MMR,7.655242673849756,16.44335284433625,-4.749517897182487,4.718569979189624e-11
10C+20P,30,10,20,SDR,5.291662224083363,17.33242442783138,-11.704343667130908,3.4439118223872356e-11
10C+20P,30,10,20,SDR-DSM,13.639653227650639,15.38262321859562,11.179383044332035,0.8417574285428971
15C+35P,50,15,35,BSM,5.434399488622326,7.372142837083224,3.208020685422228,0.6064217587554521
15C+35P,50,15,35,MMR,7.3803695963046,15.383463563180236,-1.8148206656165762,5.8145377401785936e-11
15C+35P,50,15,35,SDR,4.743577479344074,16.33356546873239,-8.57279055743056,4.015043852945155e-11
15C+35P,50,15,35,SDR-DSM,14.500702825851345,14.15585137471766,14.896921428106715,0.9744922779525022
