config,prosumer_fraction,mechanism,community_savings_pct,consumer_delta_pct,prosumer_delta_pct,fairness
21C+9P,0.3,BSM,6.396288774821558,4.505174264224957,17.856124766185403,0.4029438771331353
21C+9P,0.3,MMR,7.082275089665573,9.11773741511775,-5.252284391306452,6.958933429501712e-11
21C+9P,0.3,SDR,5.787980319072558,10.139954112515959,-20.584249195386263,3.2547631256818477e-11
21C+9P,0.3,SDR-DSM,8.12203497065286,8.707197173570838,4.576050401125074,0.6889957257136095
15C+15P,0.5,BSM,6.440425211294559,6.234948011872475,6.918973489595545,0.9479983609758711
15C+15P,0.5,MMR,7.836216056371387,13.576118865483597,-5.531790781575354,5.2334359068595404e-11
15C+15P,0.5,SDR,5.918833465840643,14.484392153720623,-14.030014261796017,3.506994694646437e-11
15C+15P,0.5,SDR-DSM,11.349914724362005,12.63692708091063,8.352513800508115,0.7958776841935203
9C+21P,0.7,BSM,5.5578784931430345,7.396395760932456,3.5306041783616045,0.6462165641352774
9C+21P,0.7,MMR,7.613563686750174,17.29958406714913,-3.0669018566835424,4.910027939786232e-11
9C+21P,0.7,SDR,5.113356669729717,18.16111755418003,-9.27399283733315,3.644962109916605e-11
9C+21P,0.7,SDR-DSM,13.901053411598102,16.245827315945192,11.315546060901164,0.8211162706787698
6C+24P,0.8,BSM,4.653659995314934,8.049779734714226,2.194943219756129,0.42850221129388355
6C+24P,0.8,MMR,7.860366607288303,19.55747555087909,-0.6080856829812815,4.958955468481463e-11
6C+24P,0.8,SDR,4.956361484139719,20.431912310602105,-6.247600492408906,3.748190646746252e-11
6C+24P,0.8,SDR-DSM,16.694141618290033,18.40037516499698,15.458865666255523,0.9131253558426056
3C+27P,0.9,BSM,3.1411092135017324,9.003120342971389,1.5270098456961736,0.29002677434976365
3C+27P,0.9,MMR,6.2318740400880355,22.38174219682596,1.785022711047279,0.14772541697477082
3C+27P,0.9,SDR,2.813430048554923,23.332713577266684,-2.8365357805807565,3.821276628457326e-11
3C+27P,0.9,SDR-DSM,16.843996923515235,21.388064101305332,15.592792209476979,0.8432899486434567
