config,N,prosumer_fraction,mechanism,community_savings_pct,consumer_delta_pct,prosumer_delta_pct,fairness,total_conv_cost
45C+11P,56,0.2,BSM,14.25396416123213,7.953252229723182,54.59085410763588,0.2543245941415061,30177.99181769316
45C+11P,56,0.2,MMR,12.945360700425976,10.698217474931011,27.33147610546556,0.5626244372720575,30177.99181769316
45C+11P,56,0.2,SDR,10.149825809861222,13.729997514161143,-12.770281250324578,3.773548140628691e-11,30177.99181769316
45C+11P,56,0.2,SDR-DSM,11.391727814299376,10.288891554682934,18.45203866752037,0.7159748466927798,30177.99181769316
34C+22P,56,0.4,BSM,16.99290572597978,11.580505461880529,29.939936002667565,0.5578218850100397,21312.375632368283
34C+22P,56,0.4,MMR,16.056362029904676,15.980377629533187,16.238124701577625,0.9920000293810196,21312.375632368283
34C+22P,56,0.4,SDR,12.63656466928037,20.782656066857395,-6.849742110480355,3.6189384822193915e-11,21312.375632368283
34C+22P,56,0.4,SDR-DSM,19.219984568947464,19.227843664095133,19.201184787360877,0.9993062828333733,21312.375632368283
23C+33P,56,0.6,BSM,18.062109974200887,13.244273943301607,22.153521223631206,0.7483106719482753,15898.143938788762
23C+33P,56,0.6,MMR,18.05588973090824,18.912605610473335,17.328347953907592,0.9562854312398915,15898.143938788762
23C+33P,56,0.6,SDR,12.764339449044318,23.524676811934178,3.626426690735849,0.2671292303641112,15898.143938788762
23C+33P,56,0.6,SDR-DSM,24.479431404610384,22.86411293592583,25.85119501628211,0.9386828862248919,15898.143938788762
12C+44P,56,0.8,BSM,17.233767834534955,15.305505889846236,17.71413150923207,0.9270547525945841,11323.891019904266
12C+44P,56,0.8,MMR,19.951562410190206,22.54045580130802,19.30662392235567,0.9227226391846309,11323.891019904266
12C+44P,56,0.8,SDR,12.126598011893178,26.994809491311045,8.42266726633257,0.47562209607588835,11323.891019904266
12C+44P,56,0.8,SDR-DSM,30.147967785173023,26.692916121853294,31.008681402341132,0.9252054455060204,11323.891019904266
