Household_ID,Type,Load_kWh,PV_kWh,Conv_Bill_Rs,MMR_Bill_Rs,MMR_Savings_Rs,MMR_Savings_Pct,BS_Bill_Rs,BS_Savings_Rs,BS_Savings_Pct,SDR_Bill_Rs,SDR_Savings_Rs,SDR_Savings_Pct
C1,Consumer 1,166.6224385,0,1062.141419,903.4254085,158.7160103,14.94302053,979.7033398,82.43807897,7.761497435,891.1121286,171.0292902,16.10230871
C2,Consumer 2,205.9947355,0,1431.810555,1116.797407,315.0131474,22.00103543,1303.614628,128.1959266,8.953413996,1101.554627,330.2559283,23.06561627
C3,Consumer 3,176.3288747,0,1187.044916,955.9611252,231.0837908,19.46714802,1085.797808,101.2471076,8.529340907,942.9343199,244.1105961,20.5645627
P1,Medium Scale Prosumer 1,254.8545261,280.3399787,331.1400493,304.2351229,26.90492648,8.124938838,301.6432753,29.49677399,8.90764317,349.0157792,-17.8757299,-5.398238579
P2,Medium Scale Prosumer 2,244.5603816,269.0164198,261.8843827,292.2729584,-30.38857564,-11.60381361,231.5764311,30.30795164,11.5730275,335.4518098,-73.56742708,-28.0915671
P3,Large Scale Prosumer 1,212.2817098,318.4225647,-50.49082473,-65.10997702,14.61915229,-28.95407705,-85.40361779,34.91279306,-69.14680686,-9.824418663,-40.66640607,80.54217035
P4,Small Scale Prosumer 1,220.2464801,137.8799832,673.8524198,658.3842348,15.46818495,2.295485554,662.7527903,11.09962951,1.647189975,676.9694526,-3.117032793,-0.462569058
P5,Small Scale Prosumer 2,228.1435653,181.1666286,531.3454891,535.8505971,-4.505108037,-0.847867937,526.3487756,4.996713495,0.940388805,561.9273312,-30.58184206,-5.755547508
P6,Small Scale Prosumer 3,249.0345976,110.9817415,822.9021389,914.6831783,-91.78103942,-11.15333587,814.6674185,8.234720325,1.000692541,928.3364541,-105.4343153,-12.81249741
P7,Small Scale Prosumer 4,245.3930976,194.8183342,489.4640503,576.7586939,-87.29464367,-17.83474059,479.1338854,10.3301649,2.110505336,604.8296257,-115.3655754,-23.56977501
